system,group,ligand_key,smiles
cdk2,charge_annihilation_set,25,Oc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,charge_annihilation_set,34,NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,charge_annihilation_set,39charg,O=C(O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,17,Brc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1
cdk2,jacs_set,1h1q,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,1h1r,Clc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1
cdk2,jacs_set,1h1s,NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,1oi9,Oc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,1oiu,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1
cdk2,jacs_set,1oiy,NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,20,OCc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1
cdk2,jacs_set,21,COc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1
cdk2,jacs_set,22,CSc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1
cdk2,jacs_set,26,COc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,28,CNS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,29,CN(C)S(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,30,CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,31,C[S@](=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
cdk2,jacs_set,32,COc1cc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)ccc1S(N)(=O)=O
cdk8,merck,13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1
cdk8,merck,14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1
cdk8,merck,15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1
cdk8,merck,16 flipped,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1
cdk8,merck,17 flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1
cdk8,merck,18 flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1
cdk8,merck,19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1
cdk8,merck,20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1
cdk8,merck,21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1
cdk8,merck,22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1
cdk8,merck,23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1
cdk8,merck,24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1
cdk8,merck,25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1
cdk8,merck,26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1
cdk8,merck,27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1
cdk8,merck,29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1
cdk8,merck,30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1
cdk8,merck,31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1
cdk8,merck,32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1
cdk8,merck,33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1
cdk8,merck,34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1
cdk8,merck,35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1
cdk8,merck,36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1
cdk8,merck,37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1
cdk8,merck,38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1
cdk8,merck,39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1
cdk8,merck,40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1
cdk8,merck,41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1
cdk8,merck,42 flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21
cdk8,merck,43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21
cdk8,merck,44 flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21
cdk8,merck,45 flipped,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1
cdk8,miscellaneous_set,12,COC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,13,NC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,14,CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,15,CN(C)C(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,16,CCNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,17,O=C(NC1CC1)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,19,CC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,20,CCC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1
cdk8,miscellaneous_set,21,O=C(c1cc2c(Oc3ccc(Cl)cc3)cncc2s1)C1CC1
cdk8,miscellaneous_set,22,CNC(=O)c1cc2c(Oc3ccc(I)cc3)cncc2s1
cmet,merck,CHEMBL3402741 400,CCN(CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(OC)c(OC)c3)CSC2=O)c1
cmet,merck,CHEMBL3402742 23,CN(C)CCCOC(=O)Nc1cccc(CN2N=C(c3cc(F)cc(F)c3)CSC2=O)c1
cmet,merck,CHEMBL3402743 42,CN(C)CCCOC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1
cmet,merck,CHEMBL3402744 300,COC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1
cmet,merck,CHEMBL3402745 200,CCOC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1
cmet,merck,CHEMBL3402747 3400,Cc1noc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)n1
cmet,merck,CHEMBL3402748 5300,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)[nH]1
cmet,merck,CHEMBL3402749 500,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)o1
cmet,merck,CHEMBL3402750 400,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)s1
cmet,merck,CHEMBL3402751 2100,Cc1csc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)n1
cmet,merck,CHEMBL3402752 30000,Cc1nc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)cs1
cmet,merck,CHEMBL3402753 200,Cc1ccc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1
cmet,merck,CHEMBL3402754 40,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1
cmet,merck,CHEMBL3402755 4200,Cc1ccc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nn1
cmet,merck,CHEMBL3402756 2.7 redocked,CN(C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1
cmet,merck,CHEMBL3402757 6.5 redocked,CN(C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(F)c4)ccc3=O)c2)nc1
cmet,merck,CHEMBL3402758 10 redocked,CN(C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccnc4)ccc3=O)c2)nc1
cmet,merck,CHEMBL3402759 5.7 redocked,COc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCCN(C)C)cn4)c3)n2)c1
cmet,merck,CHEMBL3402760 1 redocked,CN(C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(C#N)c4)ccc3=O)c2)nc1
cmet,merck,CHEMBL3402761 1 redocked,N#Cc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCN5CCOCC5)cn4)c3)n2)c1
cmet,merck,CHEMBL3402762 1 redocked,C[N@]1CC[C@H](COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1
cmet,merck,CHEMBL3402763 90,CCN(CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(Cl)cc3)CSC2=O)c1
cmet,merck,CHEMBL3402764 90,CN(C)CCCOC(=O)Nc1cccc(Cn2nc(-c3ccc(F)cc3)ccc2=O)c1
cmet,merck,CHEMBL3402765 11 charged pKa 8.1,O=C(Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1)OCCCN1CCOCC1
eg5,merck,CHEMBL1077204,CN(C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1077227,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1
eg5,merck,CHEMBL1078691,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2
eg5,merck,CHEMBL1078774,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)c(F)c1)N2
eg5,merck,CHEMBL1078998,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccs1)N2
eg5,merck,CHEMBL1082248,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1082249,CC(=O)NCCNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1083517,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1
eg5,merck,CHEMBL1083836,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1084115,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccsc1)N2
eg5,merck,CHEMBL1084143,CC(C)c1ccc2c(c1)[C@H]1O[C@@H](CNS(=O)(=O)CCCN(C)C)CC[C@H]1[C@H](c1ccccc1)N2
eg5,merck,CHEMBL1084431,Cc1ccc(C(=O)N(CCN)C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(F)(F)F)ccc2N[C@H]3c2ccccc2)cc1
eg5,merck,CHEMBL1084676,CN(C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1084677,CNCCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1084678,CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)S(=O)(=O)CCCN
eg5,merck,CHEMBL1084935,CC[N@@](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1085666,NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1085692,CN(C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1
