ligand_chembl_id,pchembl,ic50_nM,target,assay_chembl_id,source
CHEMBL1077204,8.10,8,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1077227,8.30,5,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1078691,7.47,34,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1078774,7.77,17,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1078998,7.60,25,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1082248,8.52,3,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1082249,8.22,6,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1083517,8.40,4,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1083836,7.96,11,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084115,6.92,120,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084143,8.70,2,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084431,7.19,65,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084676,7.85,14,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084677,8.40,4,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084678,8.15,7,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1084935,7.72,19,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1085666,7.70,20,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1085692,8.30,5,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1085895,7.96,11,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1086409,7.24,58,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1086410,8.40,4,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1088740,6.38,420,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1089056,6.92,120,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1089393,6.14,720,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1093087,7.72,19,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1093088,8.22,6,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1096002,8.15,7,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
CHEMBL1096003,8.70,2,KIF11(CHEMBL4581),CHEMBL1101849,ChEMBL EG5 ATPase IC50
