mol_id,smiles,target
CHEMBL15928,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,CHEMBL214
CHEMBL321818,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1.O=C(O)/C=C/C(=O)O,CHEMBL214
CHEMBL87187,Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,CHEMBL214
CHEMBL292759,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,CHEMBL214
CHEMBL325359,COc1ccc(NC(=O)N2CCN(c3cccc4c3CCCC4)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,CHEMBL214
CHEMBL108722,COc1cccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)c1.O=C(O)/C=C/C(=O)O,CHEMBL214
CHEMBL300209,CN(C)CCc1c[nH]c2ccc(Cc3nnn[nH]3)cc12,CHEMBL214
CHEMBL54265,CN(C)CCc1c[nH]c2ccc(-n3cncn3)cc12,CHEMBL214
CHEMBL53764,Cc1nccn1-c1ccc2[nH]cc(CCN(C)C)c2c1,CHEMBL214
CHEMBL53128,CN(C)CCc1c[nH]c2ccc(Cc3nnnn3C)cc12,CHEMBL214
CHEMBL53467,CN(C)CCc1c[nH]c2ccc(Cn3ncnn3)cc12,CHEMBL214
CHEMBL52912,CN(C)CCc1c[nH]c2ccc(Cn3ccnc3)cc12,CHEMBL214
CHEMBL54103,CN(C)CCc1c[nH]c2ccc(Cc3nncn3C)cc12,CHEMBL214
CHEMBL52264,CN(C)CCc1c[nH]c2ccc(Cc3ncnn3C)cc12,CHEMBL214
CHEMBL905,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,CHEMBL214
CHEMBL53485,CN(C)CCc1c[nH]c2ccc(Cn3cnnn3)cc12,CHEMBL214
CHEMBL50834,CCn1nnnc1Cc1ccc2[nH]cc(CCN(C)C)c2c1,CHEMBL214
CHEMBL25924,CN1CCc2cccc3c2[C@H]1Cc1cccc(-c2ccccc2)c1-3,CHEMBL214
CHEMBL53349,Cc1nccn1Cc1ccc2[nH]cc(CCN(C)C)c2c1,CHEMBL214
CHEMBL50837,CN(C)CCc1c[nH]c2ccc(Cn3ccnn3)cc12,CHEMBL214
CHEMBL39243,CN(C)CCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,CHEMBL214
CHEMBL531,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,CHEMBL214
CHEMBL157138,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL214
CHEMBL419792,CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,CHEMBL214
CHEMBL493,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,CHEMBL214
CHEMBL422344,CN(C)[C@@H]1Cc2cccc3nc(O)n(c23)C1,CHEMBL214
CHEMBL434665,CCCN[C@@H]1Cc2cccc3nc(O)n(c23)C1,CHEMBL214
CHEMBL1744038,CCCN(CC1CC1)[C@H]1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,CHEMBL214
CHEMBL1744089,CCCN[C@@H]1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,CHEMBL214
CHEMBL1788325,CCCN[C@H]1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,CHEMBL214
CHEMBL1788192,CCCN(CC1CC1)[C@@H]1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,CHEMBL214
