CHEMBL268177,Nc1ccc(S(N)(=O)=O)cc1I
CHEMBL268439,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
CHEMBL544127,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL148167,NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1
CHEMBL358290,NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccc2)cc1
CHEMBL148426,NS(=O)(=O)c1ccc(N/C(S)=N\CCc2c[nH]cn2)cc1
CHEMBL144766,NS(=O)(=O)c1ccc(N/C(S)=N\c2ccccc2C(=O)O)cc1
CHEMBL356059,NS(=O)(=O)c1ccc(N/C(S)=N/C(CCC(=O)O)C(=O)O)cc1
CHEMBL144970,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]c3ccccc23)C(=O)O)cc1
CHEMBL144186,CC(O)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL340519,COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1
CHEMBL144982,CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL2370954,NS(=O)(=O)c1ccc(NC(=S)N2CCC[C@H]2C(=O)NCC(=O)NCC(=O)O)cc1
CHEMBL218490,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL144006,NC(=O)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL344132,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)cc2)C(=O)O)cc1
CHEMBL541089,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL541089,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL147385,CCC(C)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL865,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
CHEMBL144667,NS(=O)(=O)c1ccc(N/C(S)=N\Cc2ccccn2)cc1
CHEMBL144122,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccccc2)C(=O)O)cc1
CHEMBL344316,NS(=O)(=O)c1ccc(N/C(S)=N\c2cccc(C(=O)O)c2)cc1
CHEMBL148387,CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O
