ligand,smiles,chembl_id,assay,pchembl,exp_dg
CAT-13e,[H]c1c([H])c(Cl)c([H])c(-c2c([H])c([H])c([H])c([C@]3(C4([H])C([H])([H])C([H])([H])C4([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2011989,IC50,5.55,-7.570200000000001
CAT-17b,[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2c([H])c([H])c([H])c([C@]3(C4([H])C([H])([H])C4([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2012001,IC50,6.18,-8.42952
CAT-13j,[H]c1nc([C@@]2(c3c([H])c([H])c([H])c(-c4c([H])c([H])c([H])c(Cl)c4[H])c3[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]2[H])c([H])c([H])c1[H],CHEMBL2011994,IC50,5.23,-7.133720000000001
CAT-13d,[H]c1c([H])c(Cl)c([H])c(-c2c([H])c([H])c([H])c([C@]3(C4([H])C([H])([H])C4([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2011988,IC50,5.72,-7.80208
CAT-13b,[H]c1c([H])c(Cl)c([H])c(-c2c([H])c([H])c([H])c([C@]3(C([H])([H])C([H])([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2011986,IC50,5.28,-7.201920000000001
CAT-13a,[H]c1c([H])c(Cl)c([H])c(-c2c([H])c([H])c([H])c([C@]3(C([H])([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2011985,IC50,5.32,-7.256480000000001
CAT-13h,[H]c1c([H])c(Cl)c([H])c(-c2c([H])c([H])c([H])c([C@]3(C4(C([H])([H])[H])C([H])([H])C4([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2011992,IC50,5.22,-7.120080000000001
CAT-13g,[H]c1c([H])c(Cl)c([H])c(-c2c([H])c([H])c([H])c([C@]3(C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],CHEMBL2011991,IC50,4.96,-6.765440000000001
CAT-17g,[H]c1nc([H])c(-c2c([H])c([H])c([H])c([C@]3(C4([H])C([H])([H])C4([H])[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c([H])c1F,CHEMBL2012006,IC50,6.1,-8.3204
CAT-4j,[H]c1nc([H])c(-c2c([H])c([H])c([H])c([C@]3(c4c([H])c([H])c([H])c([H])c4[H])C(=O)N(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c([H])c1[H],CHEMBL2011974,IC50,5.78,-7.883920000000001
