ligand,smiles,chembl_id,assay,pchembl,exp_dg
43,[H]c1c(C(=O)N2C([H])([H])C([H])([H])C(F)(F)C2([H])[H])c([H])c2c(C([H])([H])c3c([H])c([H])c4c(c([H])nn4C([H])([H])[H])c3[H])nn([H])c2c1[H],CHEMBL3775076,IC50,7.25,-9.889000000000001
30,[H]O[C@]1([H])C([H])([H])N(C(=O)c2c([H])c([H])c3c(c(C([H])([H])c4c([H])c([H])c(-c5c([H])nn(C([H])([H])[H])c5[H])c([H])c4[H])nn3[H])c2[H])C([H])([H])C1([H])[H],CHEMBL3775321,IC50,7.28,-9.929920000000001
24,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775496,IC50,6.96,-9.493440000000001
38,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N4C([H])([H])C([H])([H])C(F)(F)C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775773,IC50,7.57,-10.32548
31,[H]O[C@@]1([H])C([H])([H])N(C(=O)c2c([H])c([H])c3c(c(C([H])([H])c4c([H])c([H])c(-c5c([H])nn(C([H])([H])[H])c5[H])c([H])c4[H])nn3[H])c2[H])C([H])([H])C1([H])[H],CHEMBL3775321,IC50,7.28,-9.929920000000001
41,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775384,IC50,7.89,-10.76196
29,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(S(=O)(=O)N([H])C4([H])C([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3774509,IC50,6.5,-8.866000000000001
26,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(N4C(=O)C([H])([H])C([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775547,IC50,7.09,-9.670760000000001
35,[H]OC1([H])C([H])([H])N(C(=O)c2c([H])c([H])c3c(c(C([H])([H])c4c([H])c([H])c(-c5c([H])nn(C([H])([H])[H])c5[H])c([H])c4[H])nn3[H])c2[H])C1([H])[H],CHEMBL3775423,IC50,7.03,-9.588920000000002
40,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N4C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775562,IC50,6.85,-9.3434
33,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N([H])C4([H])C([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775680,IC50,7.0,-9.548
39,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3774885,IC50,7.96,-10.85744
32,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775614,IC50,6.57,-8.961480000000002
37,[H]c1nn(C([H])([H])[H])c([H])c1-c1c([H])c([H])c(C([H])([H])c2nn([H])c3c([H])c([H])c(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c23)c([H])c1[H],CHEMBL3775935,IC50,8.3,-11.321200000000001
23,[H]c1nc(-c2c([H])c([H])c3c(c(C([H])([H])c4c([H])c([H])c(-c5c([H])nn(C([H])([H])[H])c5[H])c([H])c4[H])nn3[H])c2[H])c([H])c(N([H])[H])c1[H],CHEMBL3775895,IC50,5.82,-7.938480000000001
