ligand,smiles,chembl_id,assay,pchembl,exp_dg
338,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)N([H])[H])[C@@]([H])(F)C1(F)F,CHEMBL5757403,IC50,7.89,-10.76196
43,[H]OC([H])([H])c1c(Cl)c(Oc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c([H])c1S(=O)(=O)C([H])(F)F,CHEMBL5994771,IC50,6.38,-8.70232
235,[H]O[C@@]1([H])c2c(c(Oc3c([H])nc([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C(F)(F)F)C([H])([H])C1(F)F,CHEMBL5957443,IC50,7.42,-10.120880000000001
234,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(Cl)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])[H])C([H])([H])C1(F)F,CHEMBL5868442,IC50,7.58,-10.339120000000001
30,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C([H])(F)F)c(Cl)c2C#N)c([H])c1C#N,CHEMBL5970757,IC50,7.75,-10.571000000000002
1,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(Cl)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])C1([H])[H],CHEMBL4160209,IC50,7.24,-9.87536
237,[H]O[C@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])C1(F)F,CHEMBL4161350,IC50,8.0,-10.912
227,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C(F)(F)F)C([H])([H])[C@@]1([H])F,CHEMBL5853192,IC50,7.89,-10.76196
266,[H]O[C@@]1([H])c2c(c(Oc3c([H])c([H])c(F)c4c3c([H])nn4[H])c([H])c([H])c2S(=O)(=O)C(F)(F)F)C([H])([H])C1(F)F,CHEMBL5801918,IC50,7.72,-10.53008
206,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C1(F)F,CHEMBL4159016,IC50,7.465,-10.182260000000001
67,[H]O[C@@]1([H])c2c(C#N)c([H])c([H])c(Oc3c([H])c(F)c([H])c(F)c3[H])c2C([H])([H])C1(F)F,CHEMBL6007395,IC50,7.46,-10.17544
156,[H]O[C@@]1([H])c2c(c(Oc3c([H])c([H])c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])C1([H])[H],CHEMBL5909793,IC50,7.14,-9.73896
31,[H]c1c([H])c(C#N)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C([H])(F)F)c(C([H])([H])[H])c2C#N)c1[H],CHEMBL5996269,IC50,6.48,-8.83872
289,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])[H])[C@@]([H])(F)[C@@]1([H])F,CHEMBL4516708,IC50,5.84,-7.96576
61,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(Cl)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])F)C([H])([H])C1([H])[H],CHEMBL5998996,IC50,7.41,-10.107240000000001
167,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(Cl)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])F)C([H])([H])C1(F)F,CHEMBL5970241,IC50,7.82,-10.666480000000002
