ligand,smiles,chembl_id,assay,pchembl,exp_dg
2j,[H]c1c([H])c(C([H])([H])c2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766496,IC50,7.4,-10.0936
2gg,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766581,IC50,7.82,-10.666480000000002
2q,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C3([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C3([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766503,IC50,9.0,-12.276000000000002
2t,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])C#N)c2=O)c(F)c([H])c1F,CHEMBL1766506,IC50,8.7,-11.8668
2g,[H]c1c([H])c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c1[H],CHEMBL1766493,IC50,7.82,-10.666480000000002
2l,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766498,IC50,9.0,-12.276000000000002
2ee,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766579,IC50,9.0,-12.276000000000002
2aa,[H]OC([H])([H])C([H])(N([H])c1nc([H])c2c([H])c(Oc3c([H])c([H])c(F)c([H])c3F)c(=O)n(C([H])([H])[H])c2n1)C([H])([H])O[H],CHEMBL1766577,IC50,6.8,-9.2752
2o,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766501,IC50,7.7,-10.5028
3flw,[H]OC([H])([H])C([H])([H])C([H])(N([H])c1nc([H])c2c([H])c(Oc3c([H])c([H])c(F)c([H])c3F)c(=O)n(C([H])([H])[H])c2n1)C([H])([H])C([H])([H])O[H],CHEMBL1090089,IC50,7.85,-10.7074
2u,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C3([H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C3([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766572,IC50,9.0,-12.276000000000002
