CHEMBL7130,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
CHEMBL33697,CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(S(=O)(=O)F)cc2Cl)c(Cl)c1
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL20975,CC1(C)N=C(N)N=C(N)N1c1cccc(SCc2ccccc2)c1
CHEMBL20587,CCCCCCCCCc1cccc(N2C(N)=NC(N)=NC2(C)C)c1
CHEMBL21254,CCCCCCCCCCCCc1cccc(N2C(N)=NC(N)=NC2(C)C)c1
CHEMBL20466,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc3ccccc23)c1
CHEMBL280378,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1
CHEMBL6666,CN(C)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2Cl)c1
CHEMBL25817,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O
CHEMBL277176,CC(C)(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O
CHEMBL279455,CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC
CHEMBL23338,C/C=C/c1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL36083,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1
CHEMBL36083,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL282022,C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL23447,CCc1cc(Cc2cnc(N)nc2N)cc(C)c1OC
CHEMBL278345,CCCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL83644,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CC(F)(F)CN)C(=O)O)cc1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL23609,CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL422395,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL440946,CC(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)C)c1O
CHEMBL24374,COc1c(C(C)(C)C)cc(Cc2cnc(N)nc2N)cc1C(C)(C)C
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL24503,C=CCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1O
CHEMBL25888,CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O
CHEMBL109260,Nc1cc(N)c2cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2c1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL1161155,CCS(=O)(=O)O.Cc1nc(N)nc(N)c1NC(=O)C12CC3CC(CC(C3)C1)C2
CHEMBL167304,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)o1)C(=O)O
CHEMBL354249,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1)C(=O)O
CHEMBL168069,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)s1)C(=O)O
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL305177,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL65616,C=C(CC(NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O
CHEMBL376180,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL334695,CCCCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL441298,COc1cc(CCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC
CHEMBL441298,COc1cc(CCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1
CHEMBL73267,Nc1nc(N)c2nc(CCc3ccc(C(=O)NC(C(=O)O)C(O)CC(=O)O)cc3)cnc2n1
CHEMBL308279,C=C(CC(NC(=O)c1ccc(C(CC)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O
CHEMBL343127,CCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL343127,CCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL162312,COc1ccc(OC)c(C#Cc2cccc3nc(N)nc(N)c23)c1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL434097,COc1ccc(OC)c(N(C)Cc2cccc3nc(N)nc(N)c23)c1
CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL344592,Nc1ncc(Cc2cccc(OC3CCCCO3)c2)c(N)n1
CHEMBL344592,Nc1ncc(Cc2cccc(OC3CCCCO3)c2)c(N)n1
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
