CHEMBL331650,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccccc1C
CHEMBL121432,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1cccc(C)c1
CHEMBL350093,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1
CHEMBL161907,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O
CHEMBL17079,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S
CHEMBL434261,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
CHEMBL17092,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O
CHEMBL16530,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O
CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O
CHEMBL16623,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S
CHEMBL414637,O=C1CCc2cc(OCCCC(F)(F)F)ccc21
CHEMBL341071,Cc1cc2c(nn1)-c1ccccc1C2=O
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21
CHEMBL161896,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC
CHEMBL299655,NNC(=O)C1(c2ccccc2)CC1F
CHEMBL542118,Cl.NC1CC1c1ccccc1
CHEMBL500093,Cl.NCC1CC1c1ccccc1
CHEMBL2094027,Cl.N[C@H]1C[C@]1(F)c1ccccc1
CHEMBL51601,NCC1(c2ccccc2)CC1F
CHEMBL2093957,Cl.N[C@@H]1C[C@]1(F)c1ccccc1
CHEMBL1255743,Cl.N[C@@H]1C[C@H]1c1ccccc1
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21
CHEMBL1235738,C#CCN[C@H]1CCc2ccccc21
CHEMBL123609,O=C(O)C1=Cc2cc(Br)ccc2CC1=O
CHEMBL122750,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O
CHEMBL331290,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
CHEMBL332164,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2
CHEMBL340590,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O
CHEMBL122279,O=C(O)C1=Cc2ccccc2CC1=O
CHEMBL125541,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O
CHEMBL331245,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2
CHEMBL123071,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
CHEMBL123155,O=C(Cl)C1=Cc2ccccc2CC1=O
CHEMBL56918,C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1
CHEMBL119017,C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1
CHEMBL120770,Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12
CHEMBL333655,CC1(C)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O
CHEMBL130217,NC(=O)/C=C1\CCc2c(F)cc(F)cc21
CHEMBL279390,NCCNC(=O)c1ccc(Cl)cn1
CHEMBL142738,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O
CHEMBL145781,O=c1ccc2ccc(OCc3ccccc3)cc2o1
CHEMBL339565,CC(=O)c1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL124935,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21
CHEMBL339429,N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL339027,N#Cc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21
CHEMBL127774,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21
CHEMBL338094,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21
CHEMBL127622,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21
CHEMBL127517,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21
CHEMBL339626,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21
CHEMBL127518,O=C1c2ccccc2-c2nnc(-c3ccccc3Cl)cc21
CHEMBL125921,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21
CHEMBL340701,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21
CHEMBL127751,O=C1c2ccccc2-c2nnc(-c3cccc(F)c3)cc21
CHEMBL125044,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL125094,COc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1
CHEMBL127757,O=C1c2ccccc2-c2nnc(-c3ccc(O)cc3)cc21
CHEMBL127982,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21
CHEMBL125843,O=C1c2ccccc2-c2nnc(/C=C/c3ccccc3)cc21
CHEMBL126505,O=C1c2ccccc2-c2nnc(CCc3ccccc3)cc21
CHEMBL421088,O=C1c2ccccc2-c2nnc(-c3ccccc3)cc21
CHEMBL357614,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O
CHEMBL142582,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O
CHEMBL145792,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O
CHEMBL274030,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O
CHEMBL276076,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O
