CHEMBL330621,Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1
CHEMBL98896,c1ccc(-c2cnc(Nc3cnccn3)s2)cc1
CHEMBL98653,c1ccc(-c2cnc(Nc3cccnc3)s2)cc1
CHEMBL319065,Cc1ccnc(Nc2ncc(-c3ccccc3)s2)c1
CHEMBL328644,c1ccc(Nc2ncc(-c3ccccc3)s2)cc1
CHEMBL98385,Cc1cccc(Nc2ncc(-c3ccccc3)s2)n1
CHEMBL318728,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1
CHEMBL98633,O=C(Nc1ncc(-c2ccccc2)s1)c1ccccc1
CHEMBL431073,c1ccc(-c2cnc(Nc3ccncn3)s2)cc1
CHEMBL98995,COc1cccnc1Nc1ncc(-c2ccccc2)s1
CHEMBL98996,COc1ccnc(Nc2ncc(-c3ccccc3)s2)c1
CHEMBL329713,Cc1cccnc1Nc1ncc(-c2ccccc2)s1
CHEMBL100174,CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
CHEMBL98538,c1ccc(-c2cnc(Nc3ccccn3)s2)cc1
CHEMBL97888,c1ccc(-c2cnc(Nc3ccncc3)s2)cc1
CHEMBL99832,COc1cccc(Nc2ncc(-c3ccccc3)s2)n1
CHEMBL69827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1
CHEMBL101464,Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1
CHEMBL319789,Clc1ccc(Nc2ncc(-c3ccccc3)s2)nc1
CHEMBL97889,Brc1cnc(Nc2ccccn2)s1
CHEMBL98475,c1ccc(-c2cnc(Nc3ccc(CN4CCCC4)cn3)s2)cc1
CHEMBL420087,Clc1cnc(Nc2ccccn2)s1
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL101544,N#Cc1cnc(Nc2ccccn2)s1
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1
CHEMBL101924,c1ccc(-c2cnc(Nc3ncccn3)s2)cc1
CHEMBL432941,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1
CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2
CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2
CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1
CHEMBL314995,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2
CHEMBL88483,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2
CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O
CHEMBL89010,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL315753,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2
CHEMBL88606,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL313821,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2
CHEMBL329201,Fc1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1
CHEMBL221736,O=c1[nH]c2ccccc2cc1-c1cc2ccccc2[nH]1
CHEMBL92973,Cc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1
CHEMBL92516,c1cc(-c2cnc3c(-c4ccsc4)cnn3c2)ccn1
CHEMBL324489,CN1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
CHEMBL96150,Fc1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1Cl
CHEMBL92623,c1ccc(-c2cnn3cc(-c4ccncc4)cnc23)cc1
CHEMBL329350,COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1
CHEMBL329350,COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1
CHEMBL330042,c1cc(-c2cnn3cc(C4CCCCC4)cnc23)cs1
CHEMBL420528,O=S(=O)(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
CHEMBL96569,C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCCC1
CHEMBL118748,O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
CHEMBL117052,NC1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1
CHEMBL119552,O=C(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1
CHEMBL118832,O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1
CHEMBL329457,COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1
CHEMBL323838,NC1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1
CHEMBL333297,Oc1nc2ccccc2cc1-c1cc2cc(OCCN3CCCCC3)ccc2[nH]1
CHEMBL118569,COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
CHEMBL92238,c1ccc(-c2cnn3cc(-c4ccccn4)cnc23)cc1
CHEMBL94542,C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCC1
CHEMBL118440,O=c1[nH]c2ccccc2cc1-c1nc2ccccc2[nH]1
CHEMBL83656,COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1
CHEMBL325003,O=C(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1
CHEMBL328790,Clc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1
CHEMBL119276,CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
CHEMBL92279,c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1
CHEMBL117983,CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1
CHEMBL92461,COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1
CHEMBL432548,O=c1cc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCN1CCCCC1
CHEMBL84332,O=c1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cn1CCCN1CCCCC1
CHEMBL83656,COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1
CHEMBL83171,c1ccc(-n2cnc3cc(-c4ccc(NCCN5CCOCC5)nc4)ccc32)cc1
CHEMBL316384,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc32)cc1
CHEMBL81026,COc1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cc1
CHEMBL82433,O=c1cc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCCN1CCCCC1
CHEMBL83279,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)ccc32)cc1
CHEMBL79475,O=c1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cn1CCN1CCCCC1
CHEMBL430812,O=c1nc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCCN1CCCCC1
CHEMBL82069,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)nc4)ccc32)cc1
CHEMBL45651,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)Nc1ccccc1
CHEMBL2448064,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl
CHEMBL25579,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1
CHEMBL24026,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1
CHEMBL428534,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1
CHEMBL422758,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1
CHEMBL25450,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1
CHEMBL1907763,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1
